,alpha,l1_ratio,max_iter,selection,tol,score
1,0.0001,0.1,5000,cyclic,0.0001,0.06277847423277176
0,0.0001,0.1,5000,cyclic,0.001,0.06277845601473801
3,0.0001,0.1,5000,random,0.0001,0.06277845419041464
2,0.0001,0.1,5000,random,0.001,0.06277843341395621
5,0.0001,0.3,5000,cyclic,0.0001,0.06277205638910718
7,0.0001,0.3,5000,random,0.0001,0.06277200251467747
4,0.0001,0.3,5000,cyclic,0.001,0.06277188234864786
6,0.0001,0.3,5000,random,0.001,0.06277161774879232
9,0.0001,0.5,5000,cyclic,0.0001,0.06275813368147112
11,0.0001,0.5,5000,random,0.0001,0.06275792882303007
8,0.0001,0.5,5000,cyclic,0.001,0.06275763370546743
10,0.0001,0.5,5000,random,0.001,0.06275708245962582
13,0.0001,0.7,5000,cyclic,0.0001,0.0627360830722109
15,0.0001,0.7,5000,random,0.0001,0.06273567969583613
12,0.0001,0.7,5000,cyclic,0.001,0.06273512519178608
14,0.0001,0.7,5000,random,0.001,0.06273397588375018
17,0.0001,0.9,5000,cyclic,0.0001,0.06270723947671719
19,0.0001,0.9,5000,random,0.0001,0.06270683778888549
16,0.0001,0.9,5000,cyclic,0.001,0.06270574951143884
18,0.0001,0.9,5000,random,0.001,0.0627047552520811
21,0.0001,1.0,5000,cyclic,0.0001,0.0626926661880061
23,0.0001,1.0,5000,random,0.0001,0.06269243673853328
20,0.0001,1.0,5000,cyclic,0.001,0.06269082299721114
22,0.0001,1.0,5000,random,0.001,0.06269005048835807
25,0.001,0.1,5000,cyclic,0.0001,0.06266665390965423
27,0.001,0.1,5000,random,0.0001,0.06266651730344197
24,0.001,0.1,5000,cyclic,0.001,0.06266431745578908
26,0.001,0.1,5000,random,0.001,0.06266312254135271
28,0.001,0.3,5000,cyclic,0.001,0.06230000522025274
29,0.001,0.3,5000,cyclic,0.0001,0.062283947168164475
31,0.001,0.3,5000,random,0.0001,0.0622754318991527
30,0.001,0.3,5000,random,0.001,0.062256915130163626
34,0.001,0.5,5000,random,0.001,0.06193448423552787
35,0.001,0.5,5000,random,0.0001,0.0618252247693946
32,0.001,0.5,5000,cyclic,0.001,0.06181884869577323
33,0.001,0.5,5000,cyclic,0.0001,0.061794920829423436
38,0.001,0.7,5000,random,0.001,0.06158216479972498
39,0.001,0.7,5000,random,0.0001,0.06155368302700002
37,0.001,0.7,5000,cyclic,0.0001,0.061551925046958236
36,0.001,0.7,5000,cyclic,0.001,0.06154584715197553
42,0.001,0.9,5000,random,0.001,0.06133024987169065
43,0.001,0.9,5000,random,0.0001,0.06130381875827613
41,0.001,0.9,5000,cyclic,0.0001,0.061297221166456264
40,0.001,0.9,5000,cyclic,0.001,0.06128872441469983
46,0.001,1.0,5000,random,0.001,0.061199338126317504
47,0.001,1.0,5000,random,0.0001,0.061158804291437274
45,0.001,1.0,5000,cyclic,0.0001,0.06114974889899538
44,0.001,1.0,5000,cyclic,0.001,0.061140408001950156
50,0.01,0.1,5000,random,0.001,0.0611124645418353
51,0.01,0.1,5000,random,0.0001,0.06108129053829623
49,0.01,0.1,5000,cyclic,0.0001,0.06107582926434352
48,0.01,0.1,5000,cyclic,0.001,0.06106942053150952
52,0.01,0.3,5000,cyclic,0.001,0.0580054691651666
