,Unnamed: 0,criterion,max_depth,max_features,max_samples,min_samples_leaf,n_estimators,score
0,48,friedman_mse,30,sqrt,0.5,1,100,0.948929773567476
1,42,friedman_mse,30,sqrt,0.4,1,100,0.94450991729206
2,49,friedman_mse,30,sqrt,0.5,2,100,0.9419415796962024
3,43,friedman_mse,30,sqrt,0.4,2,100,0.9366660295354166
4,36,friedman_mse,30,sqrt,0.3,1,100,0.9365378692311698
5,50,friedman_mse,30,sqrt,0.5,3,100,0.934840769651068
6,44,friedman_mse,30,sqrt,0.4,3,100,0.928542362775967
7,37,friedman_mse,30,sqrt,0.3,2,100,0.9272421165349084
8,51,friedman_mse,30,sqrt,0.5,5,100,0.9219020544077547
9,38,friedman_mse,30,sqrt,0.3,3,100,0.9180633407757972
10,45,friedman_mse,30,sqrt,0.4,5,100,0.9133010599121058
11,39,friedman_mse,30,sqrt,0.3,5,100,0.899466812095047
12,52,friedman_mse,30,sqrt,0.5,10,100,0.8905512233212528
13,46,friedman_mse,30,sqrt,0.4,10,100,0.8774732919102892
14,53,friedman_mse,30,sqrt,0.5,15,100,0.8615886556518337
15,40,friedman_mse,30,sqrt,0.3,10,100,0.8559316854671666
16,47,friedman_mse,30,sqrt,0.4,15,100,0.8441669311384418
17,30,friedman_mse,20,sqrt,0.5,1,100,0.8350384482311727
18,24,friedman_mse,20,sqrt,0.4,1,100,0.8294388447636407
19,31,friedman_mse,20,sqrt,0.5,2,100,0.8294365039282132
20,25,friedman_mse,20,sqrt,0.4,2,100,0.8241756333018102
21,32,friedman_mse,20,sqrt,0.5,3,100,0.8234685725087519
22,18,friedman_mse,20,sqrt,0.3,1,100,0.822785151281521
23,26,friedman_mse,20,sqrt,0.4,3,100,0.8189182439355568
24,41,friedman_mse,30,sqrt,0.3,15,100,0.8164356588508463
25,19,friedman_mse,20,sqrt,0.3,2,100,0.8159304414361326
26,33,friedman_mse,20,sqrt,0.5,5,100,0.8133110490695366
27,20,friedman_mse,20,sqrt,0.3,3,100,0.8098262554366243
28,27,friedman_mse,20,sqrt,0.4,5,100,0.8090269161125356
29,21,friedman_mse,20,sqrt,0.3,5,100,0.7950825318485153
30,34,friedman_mse,20,sqrt,0.5,10,100,0.7924936324077407
31,28,friedman_mse,20,sqrt,0.4,10,100,0.7800019234393005
32,35,friedman_mse,20,sqrt,0.5,15,100,0.7693566727295689
33,22,friedman_mse,20,sqrt,0.3,10,100,0.7631194768929201
34,29,friedman_mse,20,sqrt,0.4,15,100,0.7577081747514913
35,23,friedman_mse,20,sqrt,0.3,15,100,0.7328318407743433
36,6,friedman_mse,10,sqrt,0.4,1,100,0.3157559872555892
37,12,friedman_mse,10,sqrt,0.5,1,100,0.3156099369155035
38,13,friedman_mse,10,sqrt,0.5,2,100,0.3151687748421188
39,14,friedman_mse,10,sqrt,0.5,3,100,0.3146859588061118
40,1,friedman_mse,10,sqrt,0.3,2,100,0.3146759741284034
41,0,friedman_mse,10,sqrt,0.3,1,100,0.3144919022891135
42,7,friedman_mse,10,sqrt,0.4,2,100,0.314268875243512
43,2,friedman_mse,10,sqrt,0.3,3,100,0.3140705709793592
44,9,friedman_mse,10,sqrt,0.4,5,100,0.3138476210215175
45,8,friedman_mse,10,sqrt,0.4,3,100,0.3129689373638584
46,15,friedman_mse,10,sqrt,0.5,5,100,0.3126964828541955
47,3,friedman_mse,10,sqrt,0.3,5,100,0.312653358059811
48,16,friedman_mse,10,sqrt,0.5,10,100,0.3112976707519878
49,10,friedman_mse,10,sqrt,0.4,10,100,0.3109965889438264
50,17,friedman_mse,10,sqrt,0.5,15,100,0.3104072684257853
51,11,friedman_mse,10,sqrt,0.4,15,100,0.3103072131042149
52,4,friedman_mse,10,sqrt,0.3,10,100,0.3091213088884764
53,5,friedman_mse,10,sqrt,0.3,15,100,0.3062298404884109
