,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,score
1730,0.8,0,0.1,20,1,100,0.0,1,0.5,0.9588890556270799
272,0.6,0,0.1,20,1,100,0.0,1,0.5,0.9586859070519248
3188,1.0,0,0.1,20,1,100,0.0,1,0.5,0.9585250640100608
1748,0.8,0,0.1,20,3,100,0.0,1,0.5,0.9579731674247247
3206,1.0,0,0.1,20,3,100,0.0,1,0.5,0.9577687576454352
290,0.6,0,0.1,20,3,100,0.0,1,0.5,0.9577204761746584
3194,1.0,0,0.1,20,1,100,0.1,1,0.5,0.9572389960695779
1736,0.8,0,0.1,20,1,100,0.1,1,0.5,0.9571238800471662
3187,1.0,0,0.1,20,1,100,0.0,1,0.4,0.9570316295479833
3356,1.0,0,0.2,20,1,100,0.1,1,0.5,0.9569915627516664
1729,0.8,0,0.1,20,1,100,0.0,1,0.4,0.956960450166417
271,0.6,0,0.1,20,1,100,0.0,1,0.4,0.956860297883857
1892,0.8,0,0.2,20,1,100,0.0,1,0.5,0.9567670426264667
1898,0.8,0,0.2,20,1,100,0.1,1,0.5,0.9567360125275947
3350,1.0,0,0.2,20,1,100,0.0,1,0.5,0.9566597535564997
278,0.6,0,0.1,20,1,100,0.1,1,0.5,0.9565987290487092
434,0.6,0,0.2,20,1,100,0.0,1,0.5,0.9564315372020775
3374,1.0,0,0.2,20,3,100,0.1,1,0.5,0.9564166204351775
3212,1.0,0,0.1,20,3,100,0.1,1,0.5,0.956406938213247
440,0.6,0,0.2,20,1,100,0.1,1,0.5,0.9562988863692314
3224,1.0,0,0.1,20,5,100,0.0,1,0.5,0.9562587896018597
3353,1.0,0,0.2,20,1,100,0.0,10,0.5,0.9562554982587544
1910,0.8,0,0.2,20,3,100,0.0,1,0.5,0.9562301297407686
1754,0.8,0,0.1,20,3,100,0.1,1,0.5,0.956205032246519
1916,0.8,0,0.2,20,3,100,0.1,1,0.5,0.9561595337920646
1766,0.8,0,0.1,20,5,100,0.0,1,0.5,0.9561166860615353
3368,1.0,0,0.2,20,3,100,0.0,1,0.5,0.9560932495475563
1895,0.8,0,0.2,20,1,100,0.0,10,0.5,0.9558645466935533
1747,0.8,0,0.1,20,3,100,0.0,1,0.4,0.9558400603667451
296,0.6,0,0.1,20,3,100,0.1,1,0.5,0.955805732643032
308,0.6,0,0.1,20,5,100,0.0,1,0.5,0.9557849532732199
3359,1.0,0,0.2,20,1,100,0.1,10,0.5,0.955723833429108
3392,1.0,0,0.2,20,5,100,0.1,1,0.5,0.9557092423343949
3205,1.0,0,0.1,20,3,100,0.0,1,0.4,0.9556319784275529
452,0.6,0,0.2,20,3,100,0.0,1,0.5,0.9556288674850728
437,0.6,0,0.2,20,1,100,0.0,10,0.5,0.9555234576863535
1934,0.8,0,0.2,20,5,100,0.1,1,0.5,0.9555228356745407
458,0.6,0,0.2,20,3,100,0.1,1,0.5,0.9555155933353798
3371,1.0,0,0.2,20,3,100,0.0,10,0.5,0.9554593463921593
3355,1.0,0,0.2,20,1,100,0.1,1,0.4,0.9554156830641825
289,0.6,0,0.1,20,3,100,0.0,1,0.4,0.9553974873192284
1901,0.8,0,0.2,20,1,100,0.1,10,0.5,0.9553508916691049
3377,1.0,0,0.2,20,3,100,0.1,10,0.5,0.9553190744544177
1913,0.8,0,0.2,20,3,100,0.0,10,0.5,0.9552666915253374
3230,1.0,0,0.1,20,5,100,0.1,1,0.5,0.9552606846881553
3193,1.0,0,0.1,20,1,100,0.1,1,0.4,0.9552350031568553
1897,0.8,0,0.2,20,1,100,0.1,1,0.4,0.9551786553657117
3386,1.0,0,0.2,20,5,100,0.0,1,0.5,0.9550475485719712
