,criterion,max_depth,max_features,max_samples,min_samples_leaf,n_estimators,score
0,friedman_mse,20,sqrt,0.3,1,100,0.8199483147139762
1,friedman_mse,20,sqrt,0.3,2,100,0.812529854842998
2,friedman_mse,20,sqrt,0.3,3,100,0.8049011086156522
3,friedman_mse,20,sqrt,0.3,5,100,0.789874428922222
4,friedman_mse,20,sqrt,0.4,1,100,0.8270765598427475
5,friedman_mse,20,sqrt,0.4,2,100,0.820239954380664
6,friedman_mse,20,sqrt,0.4,3,100,0.8137052271572266
7,friedman_mse,20,sqrt,0.4,5,100,0.8024314276513635
8,friedman_mse,20,sqrt,0.5,1,100,0.8309936358606151
9,friedman_mse,20,sqrt,0.5,2,100,0.8259635294187018
10,friedman_mse,20,sqrt,0.5,3,100,0.8219687820473585
11,friedman_mse,20,sqrt,0.5,5,100,0.8107883040153079
12,friedman_mse,30,sqrt,0.3,1,100,0.9330071241573051
13,friedman_mse,30,sqrt,0.3,2,100,0.9239252508970285
14,friedman_mse,30,sqrt,0.3,3,100,0.9136720846934567
15,friedman_mse,30,sqrt,0.3,5,100,0.8940664951341665
16,friedman_mse,30,sqrt,0.4,1,100,0.9411627579727876
17,friedman_mse,30,sqrt,0.4,2,100,0.9328034050324014
18,friedman_mse,30,sqrt,0.4,3,100,0.9243230576137684
19,friedman_mse,30,sqrt,0.4,5,100,0.9082007225634984
20,friedman_mse,30,sqrt,0.5,1,100,0.9461143900861184
21,friedman_mse,30,sqrt,0.5,2,100,0.9390559438512739
22,friedman_mse,30,sqrt,0.5,3,100,0.9310687366495397
23,friedman_mse,30,sqrt,0.5,5,100,0.9172481547026965
